,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,period,calendarYear,acceptedDate,cik,costAndExpenses,costOfRevenue,depreciationAndAmortization,ebitda,ebitdaratio,eps,epsdiluted,fillingDate,finalLink,generalAndAdministrativeExpenses,grossProfit,grossProfitRatio,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,interestExpense,interestIncome,link,netIncome,netIncomeRatio,operatingExpenses,operatingIncome,operatingIncomeRatio,otherExpenses,reportedCurrency,researchAndDevelopmentExpenses,revenue,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,symbol,totalOtherIncomeExpensesNet,weightedAverageShsOut,weightedAverageShsOutDil,accountPayables,accumulatedOtherComprehensiveIncomeLoss,capitalLeaseObligations,cashAndCashEquivalents,cashAndShortTermInvestments,commonStock,deferredRevenue,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,goodwill,goodwillAndIntangibleAssets,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netDebt,netReceivables,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,othertotalStockholdersEquity,preferredStock,propertyPlantEquipmentNet,retainedEarnings,shortTermDebt,shortTermInvestments,taxAssets,taxPayables,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalDebt,totalEquity,totalInvestments,totalLiabilities,totalLiabilitiesAndStockholdersEquity,totalLiabilitiesAndTotalEquity,totalNonCurrentAssets,totalNonCurrentLiabilities,totalStockholdersEquity,accountsPayables,accountsReceivables,acquisitionsNet,capitalExpenditure,cashAtBeginningOfPeriod,cashAtEndOfPeriod,changeInWorkingCapital,commonStockIssued,commonStockRepurchased,debtRepayment,deferredIncomeTax,dividendsPaid,effectOfForexChangesOnCash,freeCashFlow,investmentsInPropertyPlantAndEquipment,netCashProvidedByOperatingActivities,netCashUsedForInvestingActivites,netCashUsedProvidedByFinancingActivities,netChangeInCash,operatingCashFlow,otherFinancingActivites,otherInvestingActivites,otherNonCashItems,otherWorkingCapital,purchasesOfInvestments,salesMaturitiesOfInvestments,stockBasedCompensation,averageInventory,averagePayables,averageReceivables,bookValuePerShare,capexPerShare,capexToDepreciation,capexToOperatingCashFlow,capexToRevenue,cashPerShare,currentRatio,daysOfInventoryOnHand,daysPayablesOutstanding,daysSalesOutstanding,debtToAssets,debtToEquity,dividendYield,earningsYield,enterpriseValue,enterpriseValueOverEBITDA,evToFreeCashFlow,evToOperatingCashFlow,evToSales,freeCashFlowPerShare,freeCashFlowYield,grahamNetNet,grahamNumber,incomeQuality,intangiblesToTotalAssets,interestCoverage,interestDebtPerShare,inventoryTurnover,investedCapital,marketCap,netCurrentAssetValue,netDebtToEBITDA,netIncomePerShare,operatingCashFlowPerShare,payablesTurnover,payoutRatio,pbRatio,peRatio,pfcfRatio,pocfratio,priceToSalesRatio,ptbRatio,receivablesTurnover,researchAndDdevelopementToRevenue,returnOnTangibleAssets,revenuePerShare,roe,roic,salesGeneralAndAdministrativeToRevenue,shareholdersEquityPerShare,stockBasedCompensationToRevenue,tangibleAssetValue,tangibleBookValuePerShare,workingCapital
84,2023-09-29,114.04,114.13,111.45,112.21,111.5,3414600,3414600,-1.83,-1.6,112.6,"September 29, 23",-0.016,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
85,2023-09-28,112.01,113.16,111.29,112.13,111.42,2177000,2177000,0.12,0.10713,112.19,"September 28, 23",0.0010713,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
86,2023-09-27,112.13,112.64,110.84,111.25,110.54,3226600,3226600,-0.88,-0.7848,111.58,"September 27, 23",-0.007848,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
87,2023-09-26,112.1,113.06,111.0,111.5,110.79,3179200,3179200,-0.6,-0.53524,111.85,"September 26, 23",-0.0053524,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
88,2023-09-25,113.45,113.9,112.39,113.25,112.53,3221000,3221000,-0.2,-0.17629,113.18,"September 25, 23",-0.0017629,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
89,2023-09-22,114.55,115.97,113.65,114.07,113.35,3612300,3612300,-0.48,-0.41903,114.56,"September 22, 23",-0.0041903,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
90,2023-09-21,119.74,120.76,114.44,114.55,113.82,3722800,3722800,-5.19,-4.33,116.58,"September 21, 23",-0.0433,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
91,2023-09-20,122.45,123.09,120.87,120.91,120.14,2497800,2497800,-1.54,-1.26,121.62,"September 20, 23",-0.0126,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
92,2023-09-19,122.76,123.35,121.27,121.57,120.8,1834000,1834000,-1.19,-0.96937,122.06,"September 19, 23",-0.0096937,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
93,2023-09-18,123.09,123.86,122.0,122.73,121.95,1654500,1654500,-0.36,-0.29247,122.86,"September 18, 23",-0.0029247,Q3,2023,2023-11-09 12:35:01,0001854964,5508000.0,3568000.0,3568000.0,9729000.0,0.8466626055,0.28,0.28,2023-11-09,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/nlcp-20230930.htm,1940000.0,7923000.0,0.6894961274,6066000.0,0.5278913933,178000.0,95000.0,178000.0,https://www.sec.gov/Archives/edgar/data/1854964/000185496423000041/0001854964-23-000041-index.htm,5958000.0,0.5184927334,5508000.0,5983000.0,0.5206683491,-1940000.0,USD,0.0,11491000.0,0.0,1940000.0,NLCP,-25000.0,21582314.0,21582314.0,1000000.0,0.0,139000.0,31065000.0,31065000.0,207000.0,907000.0,907000.0,-907000.0,0.0,20275000.0,20275000.0,0.0,997000.0,0.0,7367000.0,-29068000.0,5000000.0,0.0,-36065000.0,15569000.0,0.0,376853000.0,199000.0,447531000.0,61000.0,375006000.0,-39635000.0,1000000.0,0.0,0.0,0.0,435142000.0,38014000.0,18476000.0,1997000.0,415470000.0,0.0,19672000.0,435142000.0,435142000.0,397128000.0,1196000.0,408103000.0,-425000.0,0.0,62211000.0,-2613000.0,40674000.0,31065000.0,-377000.0,813000.0,-7920000.0,-1000000.0,4967000.0,-8322000.0,20416000.0,6776000.0,-2613000.0,9389000.0,-2613000.0,-16385000.0,-9609000.0,9389000.0,-143000.0,-68470000.0,-248000.0,48000.0,-350000.0,0.0,379000.0,0.0,1212000.0,5000000.0,18.90914014132127,-0.1210713549992832,-0.7323430493273543,-0.2783043987645117,-0.22739535288486643,1.4393729977239698,2.057479974020351,0.0,25.22421524663677,39.16108258637194,0.00458930647926424,0.004893372506450578,0.028310829684853576,0.02026867619110281,264883116.68,27.226140063727,39.09136904958678,28.21206908935989,23.051354684535724,0.313960773622328,0.023051451807806753,0.7016393144868526,10.837482155085961,1.5475523322894347,0.046593985411658725,62.97894736842105,0.09693121877478013,0.0,0.004893372506450578,293951116.68,18342000.0,-2.9877685270839756,0.27605936972282025,0.43503212862161117,3.568,1.3967774420946626,0.7202865861804495,12.334303318227594,43.381215566706025,31.308032450740228,25.58098657035941,0.7202865861804495,2.2982,0.0,0.014361229020384846,0.5324266897423511,0.0145992555800864,0.014156224889314018,0.16882777826124792,18.90914014132127,0.03298233400052215,395195000.0,18.311057841156423,19538000.0
